Label,Notation,Parent Notation,Sort Priority,Description
01/01/2020,01/01/2020,,0,
01/01/2021,01/01/2021,,1,
01/01/2022,01/01/2022,,2,
01/02/2020,01/02/2020,,3,
01/02/2021,01/02/2021,,4,
01/02/2022,01/02/2022,,5,
01/03/2020,01/03/2020,,6,
01/03/2021,01/03/2021,,7,
01/03/2022,01/03/2022,,8,
01/04/2019,01/04/2019,,9,
01/04/2020,01/04/2020,,10,
01/04/2021,01/04/2021,,11,
01/04/2022,01/04/2022,,12,
01/05/2019,01/05/2019,,13,
01/05/2020,01/05/2020,,14,
01/05/2021,01/05/2021,,15,
01/05/2022,01/05/2022,,16,
01/06/2019,01/06/2019,,17,
01/06/2020,01/06/2020,,18,
01/06/2021,01/06/2021,,19,
01/06/2022,01/06/2022,,20,
01/07/2019,01/07/2019,,21,
01/07/2020,01/07/2020,,22,
01/07/2021,01/07/2021,,23,
01/07/2022,01/07/2022,,24,
01/08/2019,01/08/2019,,25,
01/08/2020,01/08/2020,,26,
01/08/2021,01/08/2021,,27,
01/09/2019,01/09/2019,,28,
01/09/2020,01/09/2020,,29,
01/09/2021,01/09/2021,,30,
01/10/2019,01/10/2019,,31,
01/10/2020,01/10/2020,,32,
01/10/2021,01/10/2021,,33,
01/11/2019,01/11/2019,,34,
01/11/2020,01/11/2020,,35,
01/11/2021,01/11/2021,,36,
01/12/2019,01/12/2019,,37,
01/12/2020,01/12/2020,,38,
01/12/2021,01/12/2021,,39,
02/01/2020,02/01/2020,,40,
02/01/2021,02/01/2021,,41,
02/01/2022,02/01/2022,,42,
02/02/2020,02/02/2020,,43,
02/02/2021,02/02/2021,,44,
02/02/2022,02/02/2022,,45,
02/03/2020,02/03/2020,,46,
02/03/2021,02/03/2021,,47,
02/03/2022,02/03/2022,,48,
02/04/2019,02/04/2019,,49,
02/04/2020,02/04/2020,,50,
02/04/2021,02/04/2021,,51,
02/04/2022,02/04/2022,,52,
02/05/2019,02/05/2019,,53,
02/05/2020,02/05/2020,,54,
02/05/2021,02/05/2021,,55,
02/05/2022,02/05/2022,,56,
02/06/2019,02/06/2019,,57,
02/06/2020,02/06/2020,,58,
02/06/2021,02/06/2021,,59,
02/06/2022,02/06/2022,,60,
02/07/2019,02/07/2019,,61,
02/07/2020,02/07/2020,,62,
02/07/2021,02/07/2021,,63,
02/07/2022,02/07/2022,,64,
02/08/2019,02/08/2019,,65,
02/08/2020,02/08/2020,,66,
02/08/2021,02/08/2021,,67,
02/09/2019,02/09/2019,,68,
02/09/2020,02/09/2020,,69,
02/09/2021,02/09/2021,,70,
02/10/2019,02/10/2019,,71,
02/10/2020,02/10/2020,,72,
02/10/2021,02/10/2021,,73,
02/11/2019,02/11/2019,,74,
02/11/2020,02/11/2020,,75,
02/11/2021,02/11/2021,,76,
02/12/2019,02/12/2019,,77,
02/12/2020,02/12/2020,,78,
02/12/2021,02/12/2021,,79,
03/01/2020,03/01/2020,,80,
03/01/2021,03/01/2021,,81,
03/01/2022,03/01/2022,,82,
03/02/2020,03/02/2020,,83,
03/02/2021,03/02/2021,,84,
03/02/2022,03/02/2022,,85,
03/03/2020,03/03/2020,,86,
03/03/2021,03/03/2021,,87,
03/03/2022,03/03/2022,,88,
03/04/2019,03/04/2019,,89,
03/04/2020,03/04/2020,,90,
03/04/2021,03/04/2021,,91,
03/04/2022,03/04/2022,,92,
03/05/2019,03/05/2019,,93,
03/05/2020,03/05/2020,,94,
03/05/2021,03/05/2021,,95,
03/05/2022,03/05/2022,,96,
03/06/2019,03/06/2019,,97,
03/06/2020,03/06/2020,,98,
03/06/2021,03/06/2021,,99,
03/06/2022,03/06/2022,,100,
03/07/2019,03/07/2019,,101,
03/07/2020,03/07/2020,,102,
03/07/2021,03/07/2021,,103,
03/07/2022,03/07/2022,,104,
03/08/2019,03/08/2019,,105,
03/08/2020,03/08/2020,,106,
03/08/2021,03/08/2021,,107,
03/09/2019,03/09/2019,,108,
03/09/2020,03/09/2020,,109,
03/09/2021,03/09/2021,,110,
03/10/2019,03/10/2019,,111,
03/10/2020,03/10/2020,,112,
03/10/2021,03/10/2021,,113,
03/11/2019,03/11/2019,,114,
03/11/2020,03/11/2020,,115,
03/11/2021,03/11/2021,,116,
03/12/2019,03/12/2019,,117,
03/12/2020,03/12/2020,,118,
03/12/2021,03/12/2021,,119,
04/01/2020,04/01/2020,,120,
04/01/2021,04/01/2021,,121,
04/01/2022,04/01/2022,,122,
04/02/2020,04/02/2020,,123,
04/02/2021,04/02/2021,,124,
04/02/2022,04/02/2022,,125,
04/03/2020,04/03/2020,,126,
04/03/2021,04/03/2021,,127,
04/03/2022,04/03/2022,,128,
04/04/2019,04/04/2019,,129,
04/04/2020,04/04/2020,,130,
04/04/2021,04/04/2021,,131,
04/04/2022,04/04/2022,,132,
04/05/2019,04/05/2019,,133,
04/05/2020,04/05/2020,,134,
04/05/2021,04/05/2021,,135,
04/05/2022,04/05/2022,,136,
04/06/2019,04/06/2019,,137,
04/06/2020,04/06/2020,,138,
04/06/2021,04/06/2021,,139,
04/06/2022,04/06/2022,,140,
04/07/2019,04/07/2019,,141,
04/07/2020,04/07/2020,,142,
04/07/2021,04/07/2021,,143,
04/07/2022,04/07/2022,,144,
04/08/2019,04/08/2019,,145,
04/08/2020,04/08/2020,,146,
04/08/2021,04/08/2021,,147,
04/09/2019,04/09/2019,,148,
04/09/2020,04/09/2020,,149,
04/09/2021,04/09/2021,,150,
04/10/2019,04/10/2019,,151,
04/10/2020,04/10/2020,,152,
04/10/2021,04/10/2021,,153,
04/11/2019,04/11/2019,,154,
04/11/2020,04/11/2020,,155,
04/11/2021,04/11/2021,,156,
04/12/2019,04/12/2019,,157,
04/12/2020,04/12/2020,,158,
04/12/2021,04/12/2021,,159,
05/01/2020,05/01/2020,,160,
05/01/2021,05/01/2021,,161,
05/01/2022,05/01/2022,,162,
05/02/2020,05/02/2020,,163,
05/02/2021,05/02/2021,,164,
05/02/2022,05/02/2022,,165,
05/03/2020,05/03/2020,,166,
05/03/2021,05/03/2021,,167,
05/03/2022,05/03/2022,,168,
05/04/2019,05/04/2019,,169,
05/04/2020,05/04/2020,,170,
05/04/2021,05/04/2021,,171,
05/04/2022,05/04/2022,,172,
05/05/2019,05/05/2019,,173,
05/05/2020,05/05/2020,,174,
05/05/2021,05/05/2021,,175,
05/05/2022,05/05/2022,,176,
05/06/2019,05/06/2019,,177,
05/06/2020,05/06/2020,,178,
05/06/2021,05/06/2021,,179,
05/06/2022,05/06/2022,,180,
05/07/2019,05/07/2019,,181,
05/07/2020,05/07/2020,,182,
05/07/2021,05/07/2021,,183,
05/07/2022,05/07/2022,,184,
05/08/2019,05/08/2019,,185,
05/08/2020,05/08/2020,,186,
05/08/2021,05/08/2021,,187,
05/09/2019,05/09/2019,,188,
05/09/2020,05/09/2020,,189,
05/09/2021,05/09/2021,,190,
05/10/2019,05/10/2019,,191,
05/10/2020,05/10/2020,,192,
05/10/2021,05/10/2021,,193,
05/11/2019,05/11/2019,,194,
05/11/2020,05/11/2020,,195,
05/11/2021,05/11/2021,,196,
05/12/2019,05/12/2019,,197,
05/12/2020,05/12/2020,,198,
05/12/2021,05/12/2021,,199,
06/01/2020,06/01/2020,,200,
06/01/2021,06/01/2021,,201,
06/01/2022,06/01/2022,,202,
06/02/2020,06/02/2020,,203,
06/02/2021,06/02/2021,,204,
06/02/2022,06/02/2022,,205,
06/03/2020,06/03/2020,,206,
06/03/2021,06/03/2021,,207,
06/03/2022,06/03/2022,,208,
06/04/2019,06/04/2019,,209,
06/04/2020,06/04/2020,,210,
06/04/2021,06/04/2021,,211,
06/04/2022,06/04/2022,,212,
06/05/2019,06/05/2019,,213,
06/05/2020,06/05/2020,,214,
06/05/2021,06/05/2021,,215,
06/05/2022,06/05/2022,,216,
06/06/2019,06/06/2019,,217,
06/06/2020,06/06/2020,,218,
06/06/2021,06/06/2021,,219,
06/06/2022,06/06/2022,,220,
06/07/2019,06/07/2019,,221,
06/07/2020,06/07/2020,,222,
06/07/2021,06/07/2021,,223,
06/07/2022,06/07/2022,,224,
06/08/2019,06/08/2019,,225,
06/08/2020,06/08/2020,,226,
06/08/2021,06/08/2021,,227,
06/09/2019,06/09/2019,,228,
06/09/2020,06/09/2020,,229,
06/09/2021,06/09/2021,,230,
06/10/2019,06/10/2019,,231,
06/10/2020,06/10/2020,,232,
06/10/2021,06/10/2021,,233,
06/11/2019,06/11/2019,,234,
06/11/2020,06/11/2020,,235,
06/11/2021,06/11/2021,,236,
06/12/2019,06/12/2019,,237,
06/12/2020,06/12/2020,,238,
06/12/2021,06/12/2021,,239,
07/01/2020,07/01/2020,,240,
07/01/2021,07/01/2021,,241,
07/01/2022,07/01/2022,,242,
07/02/2020,07/02/2020,,243,
07/02/2021,07/02/2021,,244,
07/02/2022,07/02/2022,,245,
07/03/2020,07/03/2020,,246,
07/03/2021,07/03/2021,,247,
