Month,Metric,Time period,Seasonal Adjustment,Estimate,SIC,Measure,Value,Unit
2013-1,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.01,Unitless
2013-2,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.05,Unitless
2013-3,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.05,Unitless
2013-4,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.03,Unitless
2013-5,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.01,Unitless
2013-6,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.07,Unitless
2013-7,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.1,Unitless
2013-8,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.05,Unitless
2013-9,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.07,Unitless
2013-10,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.06,Unitless
2013-11,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.05,Unitless
2013-12,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.14,Unitless
2014-1,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.11,Unitless
2014-2,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.06,Unitless
2014-3,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.06,Unitless
2014-4,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.07,Unitless
2014-5,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.04,Unitless
2014-6,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.05,Unitless
2014-7,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.03,Unitless
2014-8,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.02,Unitless
2014-9,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.04,Unitless
2014-10,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.02,Unitless
2014-11,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.1,Unitless
2014-12,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.06,Unitless
2015-1,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.05,Unitless
2015-2,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.07,Unitless
2015-3,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.07,Unitless
2015-4,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.1,Unitless
2015-5,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.13,Unitless
2015-6,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.05,Unitless
2015-7,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.07,Unitless
2015-8,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.14,Unitless
2015-9,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.1,Unitless
2015-10,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.1,Unitless
2015-11,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.04,Unitless
2015-12,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.24,Unitless
2016-1,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.03,Unitless
2016-2,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.02,Unitless
2016-3,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.03,Unitless
2016-4,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.03,Unitless
2016-5,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.02,Unitless
2016-6,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.04,Unitless
2016-7,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.09,Unitless
2016-8,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.03,Unitless
2016-9,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.01,Unitless
2016-10,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,-0.03,Unitless
2016-11,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.08,Unitless
2016-12,Turnover current prices,Month on a Year ago,NSA,Day7,Total,Diffusion index,0.17,Unitless
