Label,Notation,Parent Notation,Sort Priority,Description
Expenditure current prices,expenditure-current-prices,,0,
Expenditure current prices100,expenditure-current-prices100,,1,
Expenditure current prices101,expenditure-current-prices101,,2,
Expenditure current prices102,expenditure-current-prices102,,3,
Expenditure current prices103,expenditure-current-prices103,,4,
Expenditure current prices104,expenditure-current-prices104,,5,
Expenditure current prices105,expenditure-current-prices105,,6,
Expenditure current prices106,expenditure-current-prices106,,7,
Expenditure current prices107,expenditure-current-prices107,,8,
Expenditure current prices108,expenditure-current-prices108,,9,
Expenditure current prices109,expenditure-current-prices109,,10,
Expenditure current prices110,expenditure-current-prices110,,11,
Expenditure current prices111,expenditure-current-prices111,,12,
Expenditure current prices112,expenditure-current-prices112,,13,
Expenditure current prices113,expenditure-current-prices113,,14,
Expenditure current prices114,expenditure-current-prices114,,15,
Expenditure current prices115,expenditure-current-prices115,,16,
Expenditure current prices116,expenditure-current-prices116,,17,
Expenditure current prices117,expenditure-current-prices117,,18,
Expenditure current prices118,expenditure-current-prices118,,19,
Expenditure current prices119,expenditure-current-prices119,,20,
Expenditure current prices120,expenditure-current-prices120,,21,
Expenditure current prices121,expenditure-current-prices121,,22,
Expenditure current prices122,expenditure-current-prices122,,23,
Expenditure current prices123,expenditure-current-prices123,,24,
Expenditure current prices124,expenditure-current-prices124,,25,
Expenditure current prices125,expenditure-current-prices125,,26,
Expenditure current prices126,expenditure-current-prices126,,27,
Expenditure current prices127,expenditure-current-prices127,,28,
Expenditure current prices128,expenditure-current-prices128,,29,
Expenditure current prices129,expenditure-current-prices129,,30,
Expenditure current prices130,expenditure-current-prices130,,31,
Expenditure current prices131,expenditure-current-prices131,,32,
Expenditure current prices132,expenditure-current-prices132,,33,
Expenditure current prices133,expenditure-current-prices133,,34,
Expenditure current prices134,expenditure-current-prices134,,35,
Expenditure current prices135,expenditure-current-prices135,,36,
Expenditure current prices136,expenditure-current-prices136,,37,
Expenditure current prices137,expenditure-current-prices137,,38,
Expenditure current prices138,expenditure-current-prices138,,39,
Expenditure current prices139,expenditure-current-prices139,,40,
Expenditure current prices140,expenditure-current-prices140,,41,
Expenditure current prices141,expenditure-current-prices141,,42,
Expenditure current prices142,expenditure-current-prices142,,43,
Expenditure current prices143,expenditure-current-prices143,,44,
Expenditure current prices144,expenditure-current-prices144,,45,
Expenditure current prices145,expenditure-current-prices145,,46,
Expenditure current prices146,expenditure-current-prices146,,47,
Expenditure current prices147,expenditure-current-prices147,,48,
Expenditure current prices148,expenditure-current-prices148,,49,
Expenditure current prices149,expenditure-current-prices149,,50,
Expenditure current prices150,expenditure-current-prices150,,51,
Expenditure current prices151,expenditure-current-prices151,,52,
Expenditure current prices152,expenditure-current-prices152,,53,
Expenditure current prices153,expenditure-current-prices153,,54,
Expenditure current prices154,expenditure-current-prices154,,55,
Expenditure current prices155,expenditure-current-prices155,,56,
Expenditure current prices156,expenditure-current-prices156,,57,
Expenditure current prices157,expenditure-current-prices157,,58,
Expenditure current prices158,expenditure-current-prices158,,59,
Expenditure current prices159,expenditure-current-prices159,,60,
Expenditure current prices160,expenditure-current-prices160,,61,
Expenditure current prices161,expenditure-current-prices161,,62,
Expenditure current prices162,expenditure-current-prices162,,63,
Expenditure current prices163,expenditure-current-prices163,,64,
Expenditure current prices164,expenditure-current-prices164,,65,
Expenditure current prices165,expenditure-current-prices165,,66,
Expenditure current prices166,expenditure-current-prices166,,67,
Expenditure current prices167,expenditure-current-prices167,,68,
Expenditure current prices168,expenditure-current-prices168,,69,
Expenditure current prices169,expenditure-current-prices169,,70,
Expenditure current prices170,expenditure-current-prices170,,71,
Expenditure current prices171,expenditure-current-prices171,,72,
Expenditure current prices172,expenditure-current-prices172,,73,
Expenditure current prices173,expenditure-current-prices173,,74,
Expenditure current prices174,expenditure-current-prices174,,75,
Expenditure current prices175,expenditure-current-prices175,,76,
Expenditure current prices176,expenditure-current-prices176,,77,
Expenditure current prices177,expenditure-current-prices177,,78,
Expenditure current prices178,expenditure-current-prices178,,79,
Expenditure current prices179,expenditure-current-prices179,,80,
Expenditure current prices180,expenditure-current-prices180,,81,
Expenditure current prices181,expenditure-current-prices181,,82,
Expenditure current prices182,expenditure-current-prices182,,83,
Expenditure current prices183,expenditure-current-prices183,,84,
Expenditure current prices184,expenditure-current-prices184,,85,
Expenditure current prices185,expenditure-current-prices185,,86,
Expenditure current prices186,expenditure-current-prices186,,87,
Expenditure current prices187,expenditure-current-prices187,,88,
Expenditure current prices188,expenditure-current-prices188,,89,
Expenditure current prices92,expenditure-current-prices92,,90,
Expenditure current prices93,expenditure-current-prices93,,91,
Expenditure current prices94,expenditure-current-prices94,,92,
Expenditure current prices95,expenditure-current-prices95,,93,
Expenditure current prices96,expenditure-current-prices96,,94,
Expenditure current prices97,expenditure-current-prices97,,95,
Expenditure current prices98,expenditure-current-prices98,,96,
Expenditure current prices99,expenditure-current-prices99,,97,
Turnover current prices,turnover-current-prices,,98,
Turnover current prices10,turnover-current-prices10,,99,
Turnover current prices11,turnover-current-prices11,,100,
Turnover current prices12,turnover-current-prices12,,101,
Turnover current prices13,turnover-current-prices13,,102,
Turnover current prices14,turnover-current-prices14,,103,
Turnover current prices15,turnover-current-prices15,,104,
Turnover current prices16,turnover-current-prices16,,105,
Turnover current prices17,turnover-current-prices17,,106,
Turnover current prices18,turnover-current-prices18,,107,
Turnover current prices19,turnover-current-prices19,,108,
Turnover current prices2,turnover-current-prices2,,109,
Turnover current prices20,turnover-current-prices20,,110,
Turnover current prices21,turnover-current-prices21,,111,
Turnover current prices22,turnover-current-prices22,,112,
Turnover current prices23,turnover-current-prices23,,113,
Turnover current prices24,turnover-current-prices24,,114,
Turnover current prices25,turnover-current-prices25,,115,
Turnover current prices26,turnover-current-prices26,,116,
Turnover current prices27,turnover-current-prices27,,117,
Turnover current prices28,turnover-current-prices28,,118,
Turnover current prices29,turnover-current-prices29,,119,
Turnover current prices3,turnover-current-prices3,,120,
Turnover current prices30,turnover-current-prices30,,121,
Turnover current prices31,turnover-current-prices31,,122,
