Label,Notation,Parent Notation,Sort Priority,Description
2012-10,2012-10,,0,
2012-11,2012-11,,1,
2012-12,2012-12,,2,
2012-2,2012-2,,3,
2012-3,2012-3,,4,
2012-4,2012-4,,5,
2012-5,2012-5,,6,
2012-6,2012-6,,7,
2012-7,2012-7,,8,
2012-8,2012-8,,9,
2012-9,2012-9,,10,
2013-1,2013-1,,11,
2013-10,2013-10,,12,
2013-11,2013-11,,13,
2013-12,2013-12,,14,
2013-2,2013-2,,15,
2013-3,2013-3,,16,
2013-4,2013-4,,17,
2013-5,2013-5,,18,
2013-6,2013-6,,19,
2013-7,2013-7,,20,
2013-8,2013-8,,21,
2013-9,2013-9,,22,
2014-1,2014-1,,23,
2014-10,2014-10,,24,
2014-11,2014-11,,25,
2014-12,2014-12,,26,
2014-2,2014-2,,27,
2014-3,2014-3,,28,
2014-4,2014-4,,29,
2014-5,2014-5,,30,
2014-6,2014-6,,31,
2014-7,2014-7,,32,
2014-8,2014-8,,33,
2014-9,2014-9,,34,
2015-1,2015-1,,35,
2015-10,2015-10,,36,
2015-11,2015-11,,37,
2015-12,2015-12,,38,
2015-2,2015-2,,39,
2015-3,2015-3,,40,
2015-4,2015-4,,41,
2015-5,2015-5,,42,
2015-6,2015-6,,43,
2015-7,2015-7,,44,
2015-8,2015-8,,45,
2015-9,2015-9,,46,
2016-1,2016-1,,47,
2016-10,2016-10,,48,
2016-11,2016-11,,49,
2016-12,2016-12,,50,
2016-2,2016-2,,51,
2016-3,2016-3,,52,
2016-4,2016-4,,53,
2016-5,2016-5,,54,
2016-6,2016-6,,55,
2016-7,2016-7,,56,
2016-8,2016-8,,57,
2016-9,2016-9,,58,
2017-1,2017-1,,59,
2017-10,2017-10,,60,
2017-11,2017-11,,61,
2017-12,2017-12,,62,
2017-2,2017-2,,63,
2017-3,2017-3,,64,
2017-4,2017-4,,65,
2017-5,2017-5,,66,
2017-6,2017-6,,67,
2017-7,2017-7,,68,
2017-8,2017-8,,69,
2017-9,2017-9,,70,
2018-1,2018-1,,71,
2018-10,2018-10,,72,
2018-11,2018-11,,73,
2018-12,2018-12,,74,
2018-2,2018-2,,75,
2018-3,2018-3,,76,
2018-4,2018-4,,77,
2018-5,2018-5,,78,
2018-6,2018-6,,79,
2018-7,2018-7,,80,
2018-8,2018-8,,81,
2018-9,2018-9,,82,
2019-1,2019-1,,83,
2019-10,2019-10,,84,
2019-11,2019-11,,85,
2019-12,2019-12,,86,
2019-2,2019-2,,87,
2019-3,2019-3,,88,
2019-4,2019-4,,89,
2019-5,2019-5,,90,
2019-6,2019-6,,91,
2019-7,2019-7,,92,
2019-8,2019-8,,93,
2019-9,2019-9,,94,
2020-1,2020-1,,95,
2020-10,2020-10,,96,
2020-11,2020-11,,97,
2020-12,2020-12,,98,
2020-2,2020-2,,99,
2020-3,2020-3,,100,
2020-4,2020-4,,101,
2020-5,2020-5,,102,
2020-6,2020-6,,103,
2020-7,2020-7,,104,
2020-8,2020-8,,105,
2020-9,2020-9,,106,
2021-1,2021-1,,107,
2021-10,2021-10,,108,
2021-11,2021-11,,109,
2021-12,2021-12,,110,
2021-2,2021-2,,111,
2021-3,2021-3,,112,
2021-4,2021-4,,113,
2021-5,2021-5,,114,
2021-6,2021-6,,115,
2021-7,2021-7,,116,
2021-8,2021-8,,117,
2021-9,2021-9,,118,
2022-1,2022-1,,119,
2022-2,2022-2,,120,
2022-3,2022-3,,121,
2022-4,2022-4,,122,
2022-5,2022-5,,123,
2022-6,2022-6,,124,
