Month,Metric,Time period,Seasonal Adjustment,Estimate,SIC,Measure,Value,Unit
2013-1,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.01,unitless
2013-2,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.05,unitless
2013-3,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.05,unitless
2013-4,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.03,unitless
2013-5,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.01,unitless
2013-6,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.07,unitless
2013-7,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.1,unitless
2013-8,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.05,unitless
2013-9,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.07,unitless
2013-10,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.06,unitless
2013-11,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.05,unitless
2013-12,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.14,unitless
2014-1,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.11,unitless
2014-2,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.06,unitless
2014-3,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.06,unitless
2014-4,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.07,unitless
2014-5,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.04,unitless
2014-6,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.05,unitless
2014-7,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.03,unitless
2014-8,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.02,unitless
2014-9,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.04,unitless
2014-10,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.02,unitless
2014-11,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.1,unitless
2014-12,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.06,unitless
2015-1,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.05,unitless
2015-2,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.07,unitless
2015-3,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.07,unitless
2015-4,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.1,unitless
2015-5,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.13,unitless
2015-6,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.05,unitless
2015-7,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.07,unitless
2015-8,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.14,unitless
2015-9,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.1,unitless
2015-10,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.1,unitless
2015-11,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.04,unitless
2015-12,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.24,unitless
2016-1,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.03,unitless
2016-2,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.02,unitless
2016-3,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.03,unitless
2016-4,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.03,unitless
2016-5,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.02,unitless
2016-6,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.04,unitless
2016-7,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.09,unitless
2016-8,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.03,unitless
2016-9,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.01,unitless
2016-10,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,-0.03,unitless
2016-11,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.08,unitless
2016-12,turnover-current-prices,month-on-a-year-ago,nsa,day7,total,diffusion-index,0.17,unitless
