
Date,Industry,Value,Method,Region,Measure,Marker
2018-02-07,Accounting / Finance,118.79499731150884,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-02-15,Accounting / Finance,124.94011996955372,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-02-22,Accounting / Finance,122.79631013316761,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-03-01,Accounting / Finance,117.13302095626487,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-03-08,Accounting / Finance,115.10094062275232,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-03-15,Accounting / Finance,115.25596530798936,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-03-22,Accounting / Finance,113.05978226713127,no deduplication method applied,K02000001,Index (100 = Average February 2020),Value imputed with linear interpolation
2018-03-29,Accounting / Finance,110.86359922627321,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-04-05,Accounting / Finance,110.24559541350392,no deduplication method applied,K02000001,Index (100 = Average February 2020),Value imputed with linear interpolation
2018-04-12,Accounting / Finance,109.62759160073463,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-04-23,Accounting / Finance,111.65129222153168,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-04-26,Accounting / Finance,111.55632214408917,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-05-03,Accounting / Finance,113.90264170443356,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-05-10,Accounting / Finance,108.67509758873766,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-05-17,Accounting / Finance,120.38155625231315,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-05-25,Accounting / Finance,120.61479158956168,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-05-31,Accounting / Finance,113.58141938367213,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-06-08,Accounting / Finance,118.87600120109217,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-06-15,Accounting / Finance,118.50450060403763,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-06-22,Accounting / Finance,117.67071918884382,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-06-29,Accounting / Finance,120.20697890407324,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-07-06,Accounting / Finance,114.8313931970699,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-07-12,Accounting / Finance,116.68191308841295,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-07-19,Accounting / Finance,113.7029252180471,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-07-26,Accounting / Finance,115.57998086632264,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-08-02,Accounting / Finance,109.43206497070592,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-08-09,Accounting / Finance,112.30351319455598,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-08-16,Accounting / Finance,113.04232453230729,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-08-23,Accounting / Finance,109.5968659874444,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-08-30,Accounting / Finance,108.86643436240861,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-09-06,Accounting / Finance,109.42927173313409,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-09-13,Accounting / Finance,107.99913409635273,no deduplication method applied,K02000001,Index (100 = Average February 2020),Value imputed with linear interpolation
2018-09-20,Accounting / Finance,106.56899645957138,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-09-27,Accounting / Finance,109.50329252878781,no deduplication method applied,K02000001,Index (100 = Average February 2020),Value imputed with linear interpolation
2018-10-05,Accounting / Finance,112.43758859800424,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-10-11,Accounting / Finance,113.20991878661759,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-10-19,Accounting / Finance,110.57729237515974,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-10-25,Accounting / Finance,107.37344888026088,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-11-01,Accounting / Finance,103.79251831316382,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-11-09,Accounting / Finance,107.05781303464312,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-11-15,Accounting / Finance,109.3287151805479,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-11-23,Accounting / Finance,111.56051200044692,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-11-30,Accounting / Finance,108.68906377659687,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-12-07,Accounting / Finance,118.35506239394427,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-12-14,Accounting / Finance,108.90204814144954,no deduplication method applied,K02000001,Index (100 = Average February 2020),Value imputed with linear interpolation
2018-12-20,Accounting / Finance,99.44903388895484,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2018-12-27,Accounting / Finance,96.36739453782393,no deduplication method applied,K02000001,Index (100 = Average February 2020),Value imputed with linear interpolation
2019-01-04,Accounting / Finance,93.28575518669302,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-01-11,Accounting / Finance,97.26751534534891,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-01-18,Accounting / Finance,99.49093245253242,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-01-24,Accounting / Finance,103.44895009182768,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-02-01,Accounting / Finance,112.53255867544674,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-02-07,Accounting / Finance,109.70021577760242,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-02-15,Accounting / Finance,118.11624058155206,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-02-22,Accounting / Finance,113.97107602494361,no deduplication method applied,K02000001,Index (100 = Average February 2020),Value imputed with linear interpolation
2019-02-28,Accounting / Finance,109.82591146833516,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-03-07,Accounting / Finance,108.70861643959972,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-03-14,Accounting / Finance,105.24639846930582,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-03-21,Accounting / Finance,107.27149570888879,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-03-28,Accounting / Finance,108.72677248381667,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-04-04,Accounting / Finance,98.50352297088747,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-04-11,Accounting / Finance,101.7408853166484,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-04-18,Accounting / Finance,98.78284672807133,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-04-25,Accounting / Finance,96.90020460465215,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-05-02,Accounting / Finance,91.31652269854682,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-05-09,Accounting / Finance,98.95323421995349,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-05-16,Accounting / Finance,105.13746220400411,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-05-23,Accounting / Finance,96.13346089118244,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-05-30,Accounting / Finance,95.47006696787078,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-06-06,Accounting / Finance,99.47975950224507,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-06-13,Accounting / Finance,98.68089355669923,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-06-20,Accounting / Finance,100.93643289595889,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-06-27,Accounting / Finance,91.1782574387408,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-07-04,Accounting / Finance,92.17963310824494,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-07-11,Accounting / Finance,99.3736164745152,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-07-18,Accounting / Finance,98.56637081625385,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-07-25,Accounting / Finance,84.13790213892167,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-08-01,Accounting / Finance,78.20087567997878,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-08-08,Accounting / Finance,85.0750333442735,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-08-15,Accounting / Finance,85.63368085864123,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-08-22,Accounting / Finance,84.85576419488419,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-08-29,Accounting / Finance,80.43127588109188,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-09-05,Accounting / Finance,83.80830010544472,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-09-12,Accounting / Finance,86.25517621837531,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-09-19,Accounting / Finance,90.5777113607955,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-09-26,Accounting / Finance,92.7634197607592,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-10-03,Accounting / Finance,94.88628031535652,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-10-10,Accounting / Finance,96.9700355439481,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-10-17,Accounting / Finance,95.40442588493258,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-10-24,Accounting / Finance,97.11807713525555,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-10-31,Accounting / Finance,96.22982758741088,no deduplication method applied,K02000001,Index (100 = Average February 2020),
2019-11-07,Accounting / Finance,96.16767805143746,no deduplication method applied,K02000001,Index (100 = Average February 2020),Value imputed with linear interpolation
2019-11-14,Accounting / Finance,96.10552851546407,no deduplication method applied,K02000001,Index (100 = Average February 2020),Value imputed with linear interpolation
