Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
accounting-/-finance,Accounting / Finance,accounting-/-finance,,0,
admin-/-clerical-/-secretarial,Admin / clerical / secretarial,admin-/-clerical-/-secretarial,,1,
all-regions,All Regions,all-regions,,2,
all-industries,All industries,all-industries,,3,
catering-and-hospitality,Catering and hospitality,catering-and-hospitality,,4,
charity-/-voluntary,Charity / voluntary,charity-/-voluntary,,5,
construction-/-trades,Construction / trades,construction-/-trades,,6,
creative-/-design-/-arts-media,Creative / design / arts & media,creative-/-design-/-arts-media,,7,
customer-service-/-support,Customer service / support,customer-service-/-support,,8,
domestic-help,Domestic help,domestic-help,,9,
east-midlands,East Midlands,east-midlands,,10,
east-of-england,East of England,east-of-england,,11,
education,Education,education,,12,
energy-/-oil-gas,Energy / oil & gas,energy-/-oil-gas,,13,
engineering,Engineering,engineering,,14,
england,England,england,,15,
facilities-/-maintenance,Facilities / maintenance,facilities-/-maintenance,,16,
graduate,Graduate,graduate,,17,
hr-recruitment,HR & recruitment,hr-recruitment,,18,
healthcare-and-social-care,Healthcare and Social care,healthcare-and-social-care,,19,
it-/-computing-/-software,IT / Computing / Software,it-/-computing-/-software,,20,
legal,Legal,legal,,21,
london,London,london,,22,
management-/-exec-/-consulting,Management / exec / consulting,management-/-exec-/-consulting,,23,
manufacturing,Manufacturing,manufacturing,,24,
marketing-/-advertising-/-pr,Marketing / advertising / PR,marketing-/-advertising-/-pr,,25,
north-east,North East,north-east,,26,
north-west,North West,north-west,,27,
northern-ireland,Northern Ireland,northern-ireland,,28,
other-/-general,Other / general,other-/-general,,29,
part-time-/-weekend,Part-time / weekend,part-time-/-weekend,,30,
property,Property,property,,31,
sales,Sales,sales,,32,
scientific-/-qa,Scientific / QA,scientific-/-qa,,33,
scotland,Scotland,scotland,,34,
south-east,South East,south-east,,35,
south-west,South West,south-west,,36,
transport-/-logistics-/-warehouse,Transport / logistics / warehouse,transport-/-logistics-/-warehouse,,37,
travel-/-tourism,Travel / tourism,travel-/-tourism,,38,
unknown,Unknown,unknown,,39,
wales,Wales,wales,,40,
west-midlands,West Midlands,west-midlands,,41,
wholesale-and-retail,Wholesale and retail,wholesale-and-retail,,42,
yorkshire-and-the-humber,Yorkshire and The Humber,yorkshire-and-the-humber,,43,
