Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
k02-united-kingdom,K02000001,K02 United Kingdom,,0,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/K02000001
unknown,Unknown,Unknown,k02-united-kingdom,0,The 'unknown' relates to regions which have not been able to match,
w92-country-wales,W92000004,W92 Country Wales,k02-united-kingdom,1,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/W92000004
s92-country-scotland,S92000003,S92 Country Scotland,k02-united-kingdom,2,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/S92000003
n92-country-northern-ireland,N92000002,N92 Country Northern Ireland,k02-united-kingdom,3,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/N92000002
e92-country-england,E92000001,E92 Country England,k02-united-kingdom,4,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E92000001
e12-region-north-east,E12000001,E12 Region North East,e92-country-england,0,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E12000001
e12-region-north-west,E12000002,E12 Region North West,e92-country-england,1,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E12000002
e12-region-yorkshire-and-the-humber,E12000003,E12 Region Yorkshire and The Humber,e92-country-england,2,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E12000003
e12-region-east-midlands,E12000004,E12 Region East Midlands,e92-country-england,3,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E12000004
e12-region-west-midlands,E12000005,E12 Region West Midlands,e92-country-england,4,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E12000005
e12-region-east-of-england,E12000006,E12 Region East of England,e92-country-england,5,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E12000006
e12-region-london,E12000007,E12 Region London,e92-country-england,6,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E12000007
e12-region-south-east,E12000008,E12 Region South East,e92-country-england,7,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E12000008
e12-region-south-west,E12000009,E12 Region South West,e92-country-england,8,,https://statistics.data.gov.uk/atlas/resource?uri=http://statistics.data.gov.uk/id/statistical-geography/E12000009
