Date,Value
2019-01,5927225
2019-02,5482288
2019-03,6527270
2019-04,6705428
2019-05,6683378
2019-06,7158541
2019-07,7659554
2019-08,7578862
2019-09,6685601
2019-10,6907331
2019-11,6148361
2019-12,6591957
2020-01,5995099
2020-02,5358457
2020-03,3051530
2020-04,199118
2020-05,220714
2020-06,342039
2020-07,857479
2020-08,1413638
2020-09,1248900
2020-10,1236530
2020-11,738570
2020-12,1138224
2021-01,674626
2021-02,459326
2021-03,539422
2021-04,535198
2021-05,674963
2021-06,956175
2021-07,1506769
2021-08,2224997
2021-09,2563205
2021-10,3020144
2021-11,3033509
2021-12,3091353
2022-01,2561769
2022-02,2823866
2022-03,4163963
2022-04,5088090
2022-05,5307698
2022-06,5954441
2022-07,6307923
2022-08,6084739
2022-09,5867559
2022-10,5812564
2022-11,5646134
