Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2019-01-02,2019-01-02,2019-01-02,,0,,http://reference.data.gov.uk/id/day/2019-01-02
2019-01-03,2019-01-03,2019-01-03,,1,,http://reference.data.gov.uk/id/day/2019-01-03
2019-01-04,2019-01-04,2019-01-04,,2,,http://reference.data.gov.uk/id/day/2019-01-04
2019-01-05,2019-01-05,2019-01-05,,3,,http://reference.data.gov.uk/id/day/2019-01-05
2019-01-06,2019-01-06,2019-01-06,,4,,http://reference.data.gov.uk/id/day/2019-01-06
2019-01-07,2019-01-07,2019-01-07,,5,,http://reference.data.gov.uk/id/day/2019-01-07
2019-01-08,2019-01-08,2019-01-08,,6,,http://reference.data.gov.uk/id/day/2019-01-08
2019-01-09,2019-01-09,2019-01-09,,7,,http://reference.data.gov.uk/id/day/2019-01-09
2019-01-10,2019-01-10,2019-01-10,,8,,http://reference.data.gov.uk/id/day/2019-01-10
2019-01-11,2019-01-11,2019-01-11,,9,,http://reference.data.gov.uk/id/day/2019-01-11
2019-01-12,2019-01-12,2019-01-12,,10,,http://reference.data.gov.uk/id/day/2019-01-12
2019-01-13,2019-01-13,2019-01-13,,11,,http://reference.data.gov.uk/id/day/2019-01-13
2019-01-14,2019-01-14,2019-01-14,,12,,http://reference.data.gov.uk/id/day/2019-01-14
2019-01-15,2019-01-15,2019-01-15,,13,,http://reference.data.gov.uk/id/day/2019-01-15
2019-01-16,2019-01-16,2019-01-16,,14,,http://reference.data.gov.uk/id/day/2019-01-16
2019-01-17,2019-01-17,2019-01-17,,15,,http://reference.data.gov.uk/id/day/2019-01-17
2019-01-18,2019-01-18,2019-01-18,,16,,http://reference.data.gov.uk/id/day/2019-01-18
2019-01-19,2019-01-19,2019-01-19,,17,,http://reference.data.gov.uk/id/day/2019-01-19
2019-01-20,2019-01-20,2019-01-20,,18,,http://reference.data.gov.uk/id/day/2019-01-20
2019-01-21,2019-01-21,2019-01-21,,19,,http://reference.data.gov.uk/id/day/2019-01-21
2019-01-22,2019-01-22,2019-01-22,,20,,http://reference.data.gov.uk/id/day/2019-01-22
2019-01-23,2019-01-23,2019-01-23,,21,,http://reference.data.gov.uk/id/day/2019-01-23
2019-01-24,2019-01-24,2019-01-24,,22,,http://reference.data.gov.uk/id/day/2019-01-24
2019-01-25,2019-01-25,2019-01-25,,23,,http://reference.data.gov.uk/id/day/2019-01-25
