Date,Measure,Value
2019-01-02,flights,5147.0
2019-01-03,flights,5518.0
2019-01-04,flights,5588.0
2019-01-05,flights,4798.0
2019-01-06,flights,5329.0
2019-01-07,flights,5288.0
2019-01-08,flights,4670.0
2019-01-09,flights,4702.0
2019-01-10,flights,5056.0
2019-01-11,flights,5330.0
2019-01-12,flights,4227.0
2019-01-13,flights,4848.0
2019-01-14,flights,5147.0
2019-01-15,flights,4596.0
2019-01-16,flights,4625.0
2019-01-17,flights,5068.0
2019-01-18,flights,5426.0
2019-01-19,flights,4172.0
2019-01-20,flights,4929.0
2019-01-21,flights,5167.0
2019-01-22,flights,4550.0
2019-01-23,flights,4611.0
2019-01-24,flights,5089.0
2019-01-25,flights,5444.0
2019-01-26,flights,4215.0
2019-01-27,flights,4899.0
2019-01-28,flights,5252.0
2019-01-29,flights,4638.0
2019-01-30,flights,4686.0
2019-01-31,flights,5026.0
2019-02-01,flights,5182.0
2019-02-02,flights,4362.0
2019-02-03,flights,5044.0
2019-02-04,flights,5262.0
2019-02-05,flights,4767.0
2019-02-06,flights,4867.0
2019-02-07,flights,5363.0
2019-02-08,flights,5508.0
2019-02-09,flights,4499.0
2019-02-10,flights,5098.0
2019-02-11,flights,5475.0
2019-02-12,flights,5046.0
2019-02-13,flights,5035.0
2019-02-14,flights,5548.0
2019-02-15,flights,5961.0
2019-02-16,flights,5054.0
2019-02-17,flights,5290.0
2019-02-18,flights,5529.0
2019-02-19,flights,5154.0
2019-02-20,flights,5026.0
2019-02-21,flights,5527.0
2019-02-22,flights,5611.0
2019-02-23,flights,4981.0
2019-02-24,flights,5692.0
2019-02-25,flights,5621.0
2019-02-26,flights,5200.0
2019-02-27,flights,5122.0
2019-02-28,flights,5569.0
2019-03-01,flights,5818.0
2019-03-02,flights,4657.0
2019-03-03,flights,5144.0
2019-03-04,flights,5590.0
2019-03-05,flights,5140.0
2019-03-06,flights,5112.0
2019-03-07,flights,5581.0
2019-03-08,flights,5833.0
2019-03-09,flights,4621.0
2019-03-10,flights,5184.0
2019-03-11,flights,5693.0
2019-03-12,flights,5089.0
2019-03-13,flights,5076.0
2019-03-14,flights,5583.0
2019-03-15,flights,5883.0
2019-03-16,flights,4673.0
2019-03-17,flights,5324.0
2019-03-18,flights,5693.0
2019-03-19,flights,5209.0
2019-03-20,flights,5182.0
2019-03-21,flights,5665.0
2019-03-22,flights,5891.0
2019-03-23,flights,4670.0
2019-03-24,flights,5313.0
2019-03-25,flights,5621.0
2019-03-26,flights,5233.0
2019-03-27,flights,5243.0
2019-03-28,flights,5709.0
2019-03-29,flights,5985.0
2019-03-30,flights,4788.0
2019-03-31,flights,5361.0
2019-04-01,flights,6058.0
2019-04-02,flights,5832.0
2019-04-03,flights,5915.0
2019-04-04,flights,6078.0
2019-04-05,flights,6288.0
2019-04-06,flights,5353.0
2019-04-07,flights,5710.0
2019-04-08,flights,6125.0
2019-04-09,flights,5946.0
2019-04-10,flights,6064.0
2019-04-11,flights,6198.0
2019-04-12,flights,6372.0
2019-04-13,flights,5367.0
2019-04-14,flights,5761.0
2019-04-15,flights,6119.0
2019-04-16,flights,5930.0
2019-04-17,flights,5989.0
2019-04-18,flights,6268.0
2019-04-19,flights,5859.0
2019-04-20,flights,5174.0
2019-04-21,flights,5555.0
2019-04-22,flights,5903.0
2019-04-23,flights,5999.0
2019-04-24,flights,5983.0
2019-04-25,flights,6106.0
2019-04-26,flights,6253.0
2019-04-27,flights,5172.0
2019-04-28,flights,5677.0
2019-04-29,flights,6201.0
2019-04-30,flights,6085.0
2019-05-01,flights,6157.0
2019-05-02,flights,6396.0
2019-05-03,flights,6677.0
2019-05-04,flights,5474.0
2019-05-05,flights,5900.0
2019-05-06,flights,6076.0
2019-05-07,flights,6373.0
2019-05-08,flights,6286.0
2019-05-09,flights,6207.0
2019-05-10,flights,6672.0
2019-05-11,flights,5601.0
2019-05-12,flights,6121.0
2019-05-13,flights,6457.0
2019-05-14,flights,6284.0
2019-05-15,flights,6331.0
2019-05-16,flights,6509.0
2019-05-17,flights,6632.0
2019-05-18,flights,5686.0
2019-05-19,flights,6007.0
2019-05-20,flights,6644.0
2019-05-21,flights,6258.0
2019-05-22,flights,6498.0
2019-05-23,flights,6702.0
2019-05-24,flights,7089.0
2019-05-25,flights,6003.0
2019-05-26,flights,6175.0
2019-05-27,flights,6445.0
2019-05-28,flights,6589.0
2019-05-29,flights,6618.0
2019-05-30,flights,6745.0
2019-05-31,flights,6970.0
2019-06-01,flights,6130.0
2019-06-02,flights,6747.0
2019-06-03,flights,6819.0
2019-06-04,flights,6654.0
2019-06-05,flights,6765.0
2019-06-06,flights,6896.0
2019-06-07,flights,6915.0
2019-06-08,flights,5978.0
2019-06-09,flights,6283.0
2019-06-10,flights,6762.0
2019-06-11,flights,6653.0
2019-06-12,flights,6608.0
2019-06-13,flights,6953.0
2019-06-14,flights,7015.0
2019-06-15,flights,5998.0
2019-06-16,flights,6445.0
2019-06-17,flights,6934.0
2019-06-18,flights,6684.0
2019-06-19,flights,6745.0
2019-06-20,flights,6995.0
