Date,Periodicity,Gas price
01/01/2018,Actual day,1.7083
01/01/2018,Preceding seven-day rolling average,1.8474
02/01/2018,Actual day,1.7331
02/01/2018,Preceding seven-day rolling average,1.8318
03/01/2018,Actual day,1.7663
03/01/2018,Preceding seven-day rolling average,1.8019
04/01/2018,Actual day,1.7719
04/01/2018,Preceding seven-day rolling average,1.7835
05/01/2018,Actual day,1.7601
05/01/2018,Preceding seven-day rolling average,1.7608
06/01/2018,Actual day,1.7186
06/01/2018,Preceding seven-day rolling average,1.7554
07/01/2018,Actual day,1.817
07/01/2018,Preceding seven-day rolling average,1.7415
08/01/2018,Actual day,1.7993
08/01/2018,Preceding seven-day rolling average,1.7536
09/01/2018,Actual day,1.7734
09/01/2018,Preceding seven-day rolling average,1.7666
10/01/2018,Actual day,1.7862
10/01/2018,Preceding seven-day rolling average,1.7724
11/01/2018,Actual day,1.8334
11/01/2018,Preceding seven-day rolling average,1.7752
12/01/2018,Actual day,1.778
12/01/2018,Preceding seven-day rolling average,1.784
13/01/2018,Actual day,1.7796
13/01/2018,Preceding seven-day rolling average,1.7865
14/01/2018,Actual day,1.7774
14/01/2018,Preceding seven-day rolling average,1.7953
15/01/2018,Actual day,1.733
15/01/2018,Preceding seven-day rolling average,1.7896
16/01/2018,Actual day,1.7304
16/01/2018,Preceding seven-day rolling average,1.7801
17/01/2018,Actual day,1.718
17/01/2018,Preceding seven-day rolling average,1.774
18/01/2018,Actual day,1.7026
18/01/2018,Preceding seven-day rolling average,1.7643
19/01/2018,Actual day,1.7158
19/01/2018,Preceding seven-day rolling average,1.7456
20/01/2018,Actual day,1.7204
20/01/2018,Preceding seven-day rolling average,1.7367
21/01/2018,Actual day,1.6999
21/01/2018,Preceding seven-day rolling average,1.7282
22/01/2018,Actual day,1.6852
22/01/2018,Preceding seven-day rolling average,1.7172
23/01/2018,Actual day,1.6529
23/01/2018,Preceding seven-day rolling average,1.7103
24/01/2018,Actual day,1.6241
24/01/2018,Preceding seven-day rolling average,1.6993
25/01/2018,Actual day,1.6529
