Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
k02000001,K02 United Kingdom,K02000001,,0,,http://statistics.data.gov.uk/id/statistical-geography/K02000001
unknown,Unknown,Unknown,k02000001,0,The 'unknown' relates to regions which have not been able to match,
w92000004,Wales,W92000004,k02000001,1,,http://statistics.data.gov.uk/id/statistical-geography/W92000004
s92000003,Scotland,S92000003,k02000001,2,,http://statistics.data.gov.uk/id/statistical-geography/S92000003
n92000002,Northern Ireland,N92000002,k02000001,3,,http://statistics.data.gov.uk/id/statistical-geography/N92000002
e92000001,England,E92000001,k02000001,4,,http://statistics.data.gov.uk/id/statistical-geography/E92000001
e12000001,North East,E12000001,e92000001,0,,http://statistics.data.gov.uk/id/statistical-geography/E12000001
e12000002,North West,E12000002,e92000001,1,,http://statistics.data.gov.uk/id/statistical-geography/E12000002
e12000003,Yorkshire and The Humber,E12000003,e92000001,2,,http://statistics.data.gov.uk/id/statistical-geography/E12000003
e12000004,East Midlands,E12000004,e92000001,3,,http://statistics.data.gov.uk/id/statistical-geography/E12000004
e12000005,West Midlands,E12000005,e92000001,4,,http://statistics.data.gov.uk/id/statistical-geography/E12000005
e12000006,E12 Region East of England,E12000006,e92000001,5,,http://statistics.data.gov.uk/id/statistical-geography/E12000006
e12000007,London,E12000007,e92000001,6,,http://statistics.data.gov.uk/id/statistical-geography/E12000007
e12000008,South East,E12000008,e92000001,7,,http://statistics.data.gov.uk/id/statistical-geography/E12000008
e12000009,South West,E12000009,e92000001,8,,http://statistics.data.gov.uk/id/statistical-geography/E12000009
