Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
day/2019-04-01,day/2019-04-01,day/2019-04-01,,0,,http://reference.data.gov.uk/id/
day/2019-04-02,day/2019-04-02,day/2019-04-02,,1,,http://reference.data.gov.uk/id/
day/2019-04-03,day/2019-04-03,day/2019-04-03,,2,,http://reference.data.gov.uk/id/
day/2019-04-04,day/2019-04-04,day/2019-04-04,,3,,http://reference.data.gov.uk/id/
day/2019-04-05,day/2019-04-05,day/2019-04-05,,4,,http://reference.data.gov.uk/id/
day/2019-04-06,day/2019-04-06,day/2019-04-06,,5,,http://reference.data.gov.uk/id/
day/2019-04-07,day/2019-04-07,day/2019-04-07,,6,,http://reference.data.gov.uk/id/
day/2019-04-08,day/2019-04-08,day/2019-04-08,,7,,http://reference.data.gov.uk/id/
day/2019-04-09,day/2019-04-09,day/2019-04-09,,8,,http://reference.data.gov.uk/id/
day/2019-04-10,day/2019-04-10,day/2019-04-10,,9,,http://reference.data.gov.uk/id/
day/2019-04-11,day/2019-04-11,day/2019-04-11,,10,,http://reference.data.gov.uk/id/
day/2019-04-12,day/2019-04-12,day/2019-04-12,,11,,http://reference.data.gov.uk/id/
day/2019-04-13,day/2019-04-13,day/2019-04-13,,12,,http://reference.data.gov.uk/id/
day/2019-04-14,day/2019-04-14,day/2019-04-14,,13,,http://reference.data.gov.uk/id/
day/2019-04-15,day/2019-04-15,day/2019-04-15,,14,,http://reference.data.gov.uk/id/
day/2019-04-16,day/2019-04-16,day/2019-04-16,,15,,http://reference.data.gov.uk/id/
day/2019-04-17,day/2019-04-17,day/2019-04-17,,16,,http://reference.data.gov.uk/id/
day/2019-04-18,day/2019-04-18,day/2019-04-18,,17,,http://reference.data.gov.uk/id/
day/2019-04-19,day/2019-04-19,day/2019-04-19,,18,,http://reference.data.gov.uk/id/
day/2019-04-20,day/2019-04-20,day/2019-04-20,,19,,http://reference.data.gov.uk/id/
day/2019-04-21,day/2019-04-21,day/2019-04-21,,20,,http://reference.data.gov.uk/id/
day/2019-04-22,day/2019-04-22,day/2019-04-22,,21,,http://reference.data.gov.uk/id/
day/2019-04-23,day/2019-04-23,day/2019-04-23,,22,,http://reference.data.gov.uk/id/
day/2019-04-24,day/2019-04-24,day/2019-04-24,,23,,http://reference.data.gov.uk/id/
day/2019-04-25,day/2019-04-25,day/2019-04-25,,24,,http://reference.data.gov.uk/id/
day/2019-04-26,day/2019-04-26,day/2019-04-26,,25,,http://reference.data.gov.uk/id/
day/2019-04-27,day/2019-04-27,day/2019-04-27,,26,,http://reference.data.gov.uk/id/
day/2019-04-28,day/2019-04-28,day/2019-04-28,,27,,http://reference.data.gov.uk/id/
day/2019-04-29,day/2019-04-29,day/2019-04-29,,28,,http://reference.data.gov.uk/id/
day/2019-04-30,day/2019-04-30,day/2019-04-30,,29,,http://reference.data.gov.uk/id/
day/2019-05-01,day/2019-05-01,day/2019-05-01,,30,,http://reference.data.gov.uk/id/
day/2019-05-02,day/2019-05-02,day/2019-05-02,,31,,http://reference.data.gov.uk/id/
day/2019-05-03,day/2019-05-03,day/2019-05-03,,32,,http://reference.data.gov.uk/id/
day/2019-05-04,day/2019-05-04,day/2019-05-04,,33,,http://reference.data.gov.uk/id/
day/2019-05-05,day/2019-05-05,day/2019-05-05,,34,,http://reference.data.gov.uk/id/
day/2019-05-06,day/2019-05-06,day/2019-05-06,,35,,http://reference.data.gov.uk/id/
day/2019-05-07,day/2019-05-07,day/2019-05-07,,36,,http://reference.data.gov.uk/id/
day/2019-05-08,day/2019-05-08,day/2019-05-08,,37,,http://reference.data.gov.uk/id/
day/2019-05-09,day/2019-05-09,day/2019-05-09,,38,,http://reference.data.gov.uk/id/
day/2019-05-10,day/2019-05-10,day/2019-05-10,,39,,http://reference.data.gov.uk/id/
day/2019-05-11,day/2019-05-11,day/2019-05-11,,40,,http://reference.data.gov.uk/id/
day/2019-05-12,day/2019-05-12,day/2019-05-12,,41,,http://reference.data.gov.uk/id/
day/2019-05-13,day/2019-05-13,day/2019-05-13,,42,,http://reference.data.gov.uk/id/
day/2019-05-14,day/2019-05-14,day/2019-05-14,,43,,http://reference.data.gov.uk/id/
day/2019-05-15,day/2019-05-15,day/2019-05-15,,44,,http://reference.data.gov.uk/id/
day/2019-05-16,day/2019-05-16,day/2019-05-16,,45,,http://reference.data.gov.uk/id/
day/2019-05-17,day/2019-05-17,day/2019-05-17,,46,,http://reference.data.gov.uk/id/
day/2019-05-18,day/2019-05-18,day/2019-05-18,,47,,http://reference.data.gov.uk/id/
day/2019-05-19,day/2019-05-19,day/2019-05-19,,48,,http://reference.data.gov.uk/id/
day/2019-05-20,day/2019-05-20,day/2019-05-20,,49,,http://reference.data.gov.uk/id/
day/2019-05-21,day/2019-05-21,day/2019-05-21,,50,,http://reference.data.gov.uk/id/
day/2019-05-22,day/2019-05-22,day/2019-05-22,,51,,http://reference.data.gov.uk/id/
day/2019-05-23,day/2019-05-23,day/2019-05-23,,52,,http://reference.data.gov.uk/id/
day/2019-05-24,day/2019-05-24,day/2019-05-24,,53,,http://reference.data.gov.uk/id/
day/2019-05-25,day/2019-05-25,day/2019-05-25,,54,,http://reference.data.gov.uk/id/
day/2019-05-26,day/2019-05-26,day/2019-05-26,,55,,http://reference.data.gov.uk/id/
day/2019-05-27,day/2019-05-27,day/2019-05-27,,56,,http://reference.data.gov.uk/id/
day/2019-05-28,day/2019-05-28,day/2019-05-28,,57,,http://reference.data.gov.uk/id/
day/2019-05-29,day/2019-05-29,day/2019-05-29,,58,,http://reference.data.gov.uk/id/
day/2019-05-30,day/2019-05-30,day/2019-05-30,,59,,http://reference.data.gov.uk/id/
day/2019-05-31,day/2019-05-31,day/2019-05-31,,60,,http://reference.data.gov.uk/id/
day/2019-06-01,day/2019-06-01,day/2019-06-01,,61,,http://reference.data.gov.uk/id/
day/2019-06-02,day/2019-06-02,day/2019-06-02,,62,,http://reference.data.gov.uk/id/
day/2019-06-03,day/2019-06-03,day/2019-06-03,,63,,http://reference.data.gov.uk/id/
day/2019-06-04,day/2019-06-04,day/2019-06-04,,64,,http://reference.data.gov.uk/id/
day/2019-06-05,day/2019-06-05,day/2019-06-05,,65,,http://reference.data.gov.uk/id/
day/2019-06-06,day/2019-06-06,day/2019-06-06,,66,,http://reference.data.gov.uk/id/
day/2019-06-07,day/2019-06-07,day/2019-06-07,,67,,http://reference.data.gov.uk/id/
day/2019-06-08,day/2019-06-08,day/2019-06-08,,68,,http://reference.data.gov.uk/id/
day/2019-06-09,day/2019-06-09,day/2019-06-09,,69,,http://reference.data.gov.uk/id/
day/2019-06-10,day/2019-06-10,day/2019-06-10,,70,,http://reference.data.gov.uk/id/
day/2019-06-11,day/2019-06-11,day/2019-06-11,,71,,http://reference.data.gov.uk/id/
day/2019-06-12,day/2019-06-12,day/2019-06-12,,72,,http://reference.data.gov.uk/id/
day/2019-06-13,day/2019-06-13,day/2019-06-13,,73,,http://reference.data.gov.uk/id/
day/2019-06-14,day/2019-06-14,day/2019-06-14,,74,,http://reference.data.gov.uk/id/
day/2019-06-15,day/2019-06-15,day/2019-06-15,,75,,http://reference.data.gov.uk/id/
day/2019-06-16,day/2019-06-16,day/2019-06-16,,76,,http://reference.data.gov.uk/id/
day/2019-06-17,day/2019-06-17,day/2019-06-17,,77,,http://reference.data.gov.uk/id/
day/2019-06-18,day/2019-06-18,day/2019-06-18,,78,,http://reference.data.gov.uk/id/
day/2019-06-19,day/2019-06-19,day/2019-06-19,,79,,http://reference.data.gov.uk/id/
day/2019-06-20,day/2019-06-20,day/2019-06-20,,80,,http://reference.data.gov.uk/id/
day/2019-06-21,day/2019-06-21,day/2019-06-21,,81,,http://reference.data.gov.uk/id/
day/2019-06-22,day/2019-06-22,day/2019-06-22,,82,,http://reference.data.gov.uk/id/
day/2019-06-23,day/2019-06-23,day/2019-06-23,,83,,http://reference.data.gov.uk/id/
day/2019-06-24,day/2019-06-24,day/2019-06-24,,84,,http://reference.data.gov.uk/id/
day/2019-06-25,day/2019-06-25,day/2019-06-25,,85,,http://reference.data.gov.uk/id/
day/2019-06-26,day/2019-06-26,day/2019-06-26,,86,,http://reference.data.gov.uk/id/
day/2019-06-27,day/2019-06-27,day/2019-06-27,,87,,http://reference.data.gov.uk/id/
day/2019-06-28,day/2019-06-28,day/2019-06-28,,88,,http://reference.data.gov.uk/id/
