Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
01/01/2021,01/01/2021,01/01/2021,,0,,http://reference.data.gov.uk/id/day/01/01/2021
01/01/2022,01/01/2022,01/01/2022,,1,,http://reference.data.gov.uk/id/day/01/01/2022
01/01/2023,01/01/2023,01/01/2023,,2,,http://reference.data.gov.uk/id/day/01/01/2023
01/02/2021,01/02/2021,01/02/2021,,3,,http://reference.data.gov.uk/id/day/01/02/2021
01/02/2022,01/02/2022,01/02/2022,,4,,http://reference.data.gov.uk/id/day/01/02/2022
01/03/2020,01/03/2020,01/03/2020,,5,,http://reference.data.gov.uk/id/day/01/03/2020
01/03/2021,01/03/2021,01/03/2021,,6,,http://reference.data.gov.uk/id/day/01/03/2021
01/03/2022,01/03/2022,01/03/2022,,7,,http://reference.data.gov.uk/id/day/01/03/2022
01/04/2020,01/04/2020,01/04/2020,,8,,http://reference.data.gov.uk/id/day/01/04/2020
01/04/2021,01/04/2021,01/04/2021,,9,,http://reference.data.gov.uk/id/day/01/04/2021
01/04/2022,01/04/2022,01/04/2022,,10,,http://reference.data.gov.uk/id/day/01/04/2022
01/05/2020,01/05/2020,01/05/2020,,11,,http://reference.data.gov.uk/id/day/01/05/2020
01/05/2021,01/05/2021,01/05/2021,,12,,http://reference.data.gov.uk/id/day/01/05/2021
01/05/2022,01/05/2022,01/05/2022,,13,,http://reference.data.gov.uk/id/day/01/05/2022
01/06/2020,01/06/2020,01/06/2020,,14,,http://reference.data.gov.uk/id/day/01/06/2020
01/06/2021,01/06/2021,01/06/2021,,15,,http://reference.data.gov.uk/id/day/01/06/2021
01/06/2022,01/06/2022,01/06/2022,,16,,http://reference.data.gov.uk/id/day/01/06/2022
01/07/2020,01/07/2020,01/07/2020,,17,,http://reference.data.gov.uk/id/day/01/07/2020
01/07/2021,01/07/2021,01/07/2021,,18,,http://reference.data.gov.uk/id/day/01/07/2021
01/07/2022,01/07/2022,01/07/2022,,19,,http://reference.data.gov.uk/id/day/01/07/2022
01/08/2020,01/08/2020,01/08/2020,,20,,http://reference.data.gov.uk/id/day/01/08/2020
01/08/2021,01/08/2021,01/08/2021,,21,,http://reference.data.gov.uk/id/day/01/08/2021
