Month,SIC,Value,Metric,Seasonal Adjustment,Variable,Estimate,Unit,Marker
2012-02,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-03,a-t,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-04,a-t,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-05,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-06,a-t,-0.14,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-07,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-08,a-t,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-09,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-10,a-t,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-11,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-12,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-01,a-t,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-02,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-03,a-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-04,a-t,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-05,a-t,-0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-06,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-07,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-08,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-09,a-t,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-10,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-11,a-t,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
