Date,Location,Value
04/03/2021,yorkshire,59.84709863
11/03/2021,yorkshire,60.0375987
18/03/2021,yorkshire,63.06554706
25/03/2021,yorkshire,66.10352174
01/04/2021,yorkshire,64.57952124
08/04/2021,yorkshire,55.84659732
15/04/2021,yorkshire,83.48915904
22/04/2021,yorkshire,96.18247901
29/04/2021,yorkshire,99.79195388
06/05/2021,yorkshire,99.22045369
13/05/2021,yorkshire,97.28537411
20/05/2021,yorkshire,105.3665873
27/05/2021,yorkshire,113.1871162
03/06/2021,yorkshire,125.1184359
10/06/2021,yorkshire,121.8699085
17/06/2021,yorkshire,119.4635919
24/06/2021,yorkshire,119.8646447
01/07/2021,yorkshire,116.7665121
08/07/2021,yorkshire,101.8774282
15/07/2021,yorkshire,86.44692317
22/07/2021,yorkshire,112.866274
29/07/2021,yorkshire,118.1000125
05/08/2021,yorkshire,124.8176463
12/08/2021,yorkshire,126.7828049
19/08/2021,yorkshire,123.1933826
26/08/2021,yorkshire,124.7073568
02/09/2021,yorkshire,127.0033839
09/09/2021,yorkshire,128.6477002
16/09/2021,yorkshire,134.0218072
23/09/2021,yorkshire,142.2935205
30/09/2021,yorkshire,141.1705728
07/10/2021,yorkshire,142.0428625
14/10/2021,yorkshire,149.7230229
21/10/2021,yorkshire,148.5900489
28/10/2021,yorkshire,159.4184735
04/11/2021,yorkshire,151.106655
11/11/2021,yorkshire,159.8195263
18/11/2021,yorkshire,160.721895
25/11/2021,yorkshire,167.9709237
02/12/2021,yorkshire,147.1763379
09/12/2021,yorkshire,151.6681288
16/12/2021,yorkshire,147.557338
23/12/2021,yorkshire,143.4866525
30/12/2021,yorkshire,87.75034465
06/01/2022,yorkshire,98.65897982
13/01/2022,yorkshire,110.9612733
20/01/2022,yorkshire,120.4461712
27/01/2022,yorkshire,126.0809625
03/02/2022,yorkshire,126.0909888
10/02/2022,yorkshire,124.9981201
17/02/2022,yorkshire,126.191252
24/02/2022,yorkshire,118.019802
03/03/2022,yorkshire,135.2951498
10/03/2022,yorkshire,139.0048878
17/03/2022,yorkshire,142.153152
24/03/2022,yorkshire,150.1742073
31/03/2022,yorkshire,130.2619376
07/04/2022,yorkshire,124.587041
14/04/2022,yorkshire,127.0835944
21/04/2022,yorkshire,120.8973556
28/04/2022,yorkshire,121.6092242
05/05/2022,yorkshire,124.9279358
12/05/2022,yorkshire,126.1411204
19/05/2022,yorkshire,128.5273844
26/05/2022,yorkshire,125.1084096
02/06/2022,yorkshire,129.3294899
09/06/2022,yorkshire,119.7042236
16/06/2022,yorkshire,122.5717508
23/06/2022,yorkshire,123.2836195
30/06/2022,yorkshire,123.0429878
07/07/2022,yorkshire,120.9575135
14/07/2022,yorkshire,121.9601454
21/07/2022,yorkshire,120.3860133
28/07/2022,yorkshire,126.0408573
04/08/2022,yorkshire,124.3965409
11/08/2022,yorkshire,131.6154907
18/08/2022,yorkshire,124.4466725
25/08/2022,yorkshire,126.943226
01/09/2022,yorkshire,125.8503572
08/09/2022,yorkshire,118.019802
15/09/2022,yorkshire,121.5490663
22/09/2022,yorkshire,124.5970673
29/09/2022,yorkshire,129.6202532
06/10/2022,yorkshire,129.9511217
13/10/2022,yorkshire,137.1500188
20/10/2022,yorkshire,134.3326231
27/10/2022,yorkshire,142.0528888
03/11/2022,yorkshire,136.0972553
10/11/2022,yorkshire,135.615992
17/11/2022,yorkshire,131.4450432
24/11/2022,yorkshire,142.2233363
01/12/2022,yorkshire,149.3921544
08/12/2022,yorkshire,145.923048
15/12/2022,yorkshire,139.8370723
22/12/2022,yorkshire,143.5768893
29/12/2022,yorkshire,94.45795212
05/01/2023,yorkshire,109.5174834
04/03/2021,london-suburban,70.85823403
11/03/2021,london-suburban,70.45652251
18/03/2021,london-suburban,73.20626613
25/03/2021,london-suburban,79.00279359
01/04/2021,london-suburban,80.70723859
08/04/2021,london-suburban,68.65306411
15/04/2021,london-suburban,82.55878921
22/04/2021,london-suburban,89.79949786
29/04/2021,london-suburban,90.81650695
06/05/2021,london-suburban,86.14590332
13/05/2021,london-suburban,90.70617773
20/05/2021,london-suburban,97.37968104
27/05/2021,london-suburban,99.88047668
03/06/2021,london-suburban,93.1617101
10/06/2021,london-suburban,101.0247887
17/06/2021,london-suburban,104.4563103
24/06/2021,london-suburban,103.3105838
01/07/2021,london-suburban,106.6148025
08/07/2021,london-suburban,106.4691114
15/07/2021,london-suburban,106.2159199
22/07/2021,london-suburban,102.092719
29/07/2021,london-suburban,101.5523887
05/08/2021,london-suburban,103.2101559
12/08/2021,london-suburban,101.5891651
19/08/2021,london-suburban,103.2327876
26/08/2021,london-suburban,109.4508292
02/09/2021,london-suburban,107.9755295
09/09/2021,london-suburban,122.1641501
16/09/2021,london-suburban,121.8388203
23/09/2021,london-suburban,125.1911312
30/09/2021,london-suburban,126.6183387
07/10/2021,london-suburban,127.9012695
14/10/2021,london-suburban,132.826479
21/10/2021,london-suburban,130.6368683
28/10/2021,london-suburban,128.1884084
04/11/2021,london-suburban,129.3836416
11/11/2021,london-suburban,133.5025991
18/11/2021,london-suburban,135.431946
25/11/2021,london-suburban,137.3994837
02/12/2021,london-suburban,134.717635
09/12/2021,london-suburban,129.5703526
16/12/2021,london-suburban,127.8390325
23/12/2021,london-suburban,110.7945826
30/12/2021,london-suburban,59.29912656
06/01/2022,london-suburban,87.83761802
13/01/2022,london-suburban,115.4128505
20/01/2022,london-suburban,121.6139185
27/01/2022,london-suburban,121.5927013
03/02/2022,london-suburban,126.4867923
10/02/2022,london-suburban,128.0582765
17/02/2022,london-suburban,117.4539411
24/02/2022,london-suburban,116.190813
03/03/2022,london-suburban,129.2549241
10/03/2022,london-suburban,129.5901552
17/03/2022,london-suburban,127.5405778
24/03/2022,london-suburban,133.075427
31/03/2022,london-suburban,124.2604052
07/04/2022,london-suburban,116.6420312
14/04/2022,london-suburban,116.2219315
21/04/2022,london-suburban,102.8565367
28/04/2022,london-suburban,121.9632943
05/05/2022,london-suburban,114.4495916
12/05/2022,london-suburban,123.8954701
19/05/2022,london-suburban,122.4173415
26/05/2022,london-suburban,122.3395452
02/06/2022,london-suburban,112.1779412
09/06/2022,london-suburban,108.9331306
16/06/2022,london-suburban,123.3367517
23/06/2022,london-suburban,120.0254606
30/06/2022,london-suburban,123.284416
07/07/2022,london-suburban,124.9181371
14/07/2022,london-suburban,117.7000601
21/07/2022,london-suburban,111.8568549
28/07/2022,london-suburban,113.5471551
04/08/2022,london-suburban,111.8780721
11/08/2022,london-suburban,108.101418
18/08/2022,london-suburban,103.5623608
25/08/2022,london-suburban,106.3870717
01/09/2022,london-suburban,102.9753527
08/09/2022,london-suburban,113.0011669
15/09/2022,london-suburban,115.3732452
22/09/2022,london-suburban,111.7154072
29/09/2022,london-suburban,120.6959228
06/10/2022,london-suburban,122.0410906
13/10/2022,london-suburban,124.9435977
20/10/2022,london-suburban,122.4116836
27/10/2022,london-suburban,117.3860462
03/11/2022,london-suburban,116.1215036
10/11/2022,london-suburban,117.9603239
17/11/2022,london-suburban,120.6916793
24/11/2022,london-suburban,120.5063828
01/12/2022,london-suburban,123.6309629
08/12/2022,london-suburban,124.1642208
15/12/2022,london-suburban,117.5147636
22/12/2022,london-suburban,110.4197461
29/12/2022,london-suburban,60.84090668
05/01/2023,london-suburban,84.74839987
04/03/2021,regional-towns,43.09957611
11/03/2021,regional-towns,49.43556184
18/03/2021,regional-towns,54.22473414
25/03/2021,regional-towns,58.72387893
01/04/2021,regional-towns,60.12642225
08/04/2021,regional-towns,55.90986837
15/04/2021,regional-towns,76.21328177
22/04/2021,regional-towns,83.89231799
29/04/2021,regional-towns,82.24436677
06/05/2021,regional-towns,81.49921916
13/05/2021,regional-towns,81.04558638
20/05/2021,regional-towns,86.50107831
27/05/2021,regional-towns,88.36469101
03/06/2021,regional-towns,88.50003718
10/06/2021,regional-towns,92.29567933
17/06/2021,regional-towns,92.97984681
24/06/2021,regional-towns,91.76321856
01/07/2021,regional-towns,96.23410426
08/07/2021,regional-towns,97.91031457
15/07/2021,regional-towns,97.74522198
22/07/2021,regional-towns,85.99985127
29/07/2021,regional-towns,86.75987209
05/08/2021,regional-towns,89.62891351
12/08/2021,regional-towns,96.30995761
19/08/2021,regional-towns,96.57916264
26/08/2021,regional-towns,100.2305347
02/09/2021,regional-towns,101.5051684
09/09/2021,regional-towns,108.2471927
16/09/2021,regional-towns,109.4846434
23/09/2021,regional-towns,112.6288391
30/09/2021,regional-towns,110.3591879
07/10/2021,regional-towns,112.4801071
14/10/2021,regional-towns,118.0114524
21/10/2021,regional-towns,115.5038299
28/10/2021,regional-towns,112.7329516
04/11/2021,regional-towns,115.0353239
11/11/2021,regional-towns,120.8239756
18/11/2021,regional-towns,119.0064698
25/11/2021,regional-towns,120.4595821
02/12/2021,regional-towns,123.9592474
09/12/2021,regional-towns,120.580055
16/12/2021,regional-towns,122.9672046
23/12/2021,regional-towns,121.8145311
30/12/2021,regional-towns,67.70432067
06/01/2022,regional-towns,78.99159664
13/01/2022,regional-towns,98.06648323
20/01/2022,regional-towns,106.6631963
27/01/2022,regional-towns,109.8192905
03/02/2022,regional-towns,114.4195731
10/02/2022,regional-towns,113.4007585
17/02/2022,regional-towns,109.6512233
24/02/2022,regional-towns,100.5027144
03/03/2022,regional-towns,109.9695099
10/03/2022,regional-towns,106.0444709
17/03/2022,regional-towns,103.1992266
24/03/2022,regional-towns,108.369153
31/03/2022,regional-towns,105.2234699
07/04/2022,regional-towns,99.59842344
14/04/2022,regional-towns,101.4620361
21/04/2022,regional-towns,85.00185915
28/04/2022,regional-towns,100.7912546
05/05/2022,regional-towns,96.90191121
12/05/2022,regional-towns,102.097122
19/05/2022,regional-towns,102.0093701
26/05/2022,regional-towns,101.0412467
02/06/2022,regional-towns,98.19379578
09/06/2022,regional-towns,91.71820461
16/06/2022,regional-towns,100.9094931
23/06/2022,regional-towns,75.64623175
30/06/2022,regional-towns,75.95103486
07/07/2022,regional-towns,77.61270341
14/07/2022,regional-towns,82.02153286
21/07/2022,regional-towns,77.84671353
28/07/2022,regional-towns,82.4836537
04/08/2022,regional-towns,81.67740032
11/08/2022,regional-towns,78.98530062
18/08/2022,regional-towns,76.59013814
25/08/2022,regional-towns,78.60970454
01/09/2022,regional-towns,78.89877587
08/09/2022,regional-towns,84.0037363
15/09/2022,regional-towns,90.42426626
22/09/2022,regional-towns,82.78845681
29/09/2022,regional-towns,92.71913869
06/10/2022,regional-towns,92.61491569
13/10/2022,regional-towns,94.70330859
20/10/2022,regional-towns,89.71830293
27/10/2022,regional-towns,90.0467037
03/11/2022,regional-towns,93.1202989
10/11/2022,regional-towns,93.83806106
17/11/2022,regional-towns,97.04340986
24/11/2022,regional-towns,97.02964456
01/12/2022,regional-towns,82.47775429
08/12/2022,regional-towns,82.62720614
15/12/2022,regional-towns,76.02182784
22/12/2022,regional-towns,74.26576864
29/12/2022,regional-towns,45.01843567
05/01/2023,regional-towns,37.04915595
04/03/2021,manchester,47.77839335
11/03/2021,manchester,47.30352196
18/03/2021,manchester,50.6656114
25/03/2021,manchester,55.56944994
01/04/2021,manchester,53.11911357
08/04/2021,manchester,41.54808073
15/04/2021,manchester,59.09299565
22/04/2021,manchester,65.64938662
29/04/2021,manchester,68.3751484
06/05/2021,manchester,57.69054214
13/05/2021,manchester,67.82429759
20/05/2021,manchester,71.90502572
27/05/2021,manchester,70.95211713
03/06/2021,manchester,67.7958053
10/06/2021,manchester,76.88484369
17/06/2021,manchester,70.37910566
24/06/2021,manchester,70.89513257
01/07/2021,manchester,71.3161852
08/07/2021,manchester,70.03719826
15/07/2021,manchester,70.92679066
22/07/2021,manchester,77.27107242
29/07/2021,manchester,75.20063316
05/08/2021,manchester,77.68579343
12/08/2021,manchester,76.71072418
19/08/2021,manchester,78.09734863
26/08/2021,manchester,81.82034032
02/09/2021,manchester,75.40957657
09/09/2021,manchester,91.67867036
16/09/2021,manchester,100.3371587
23/09/2021,manchester,109.0937871
30/09/2021,manchester,105.8203403
07/10/2021,manchester,112.8611001
14/10/2021,manchester,113.0763751
21/10/2021,manchester,107.2576177
28/10/2021,manchester,112.7661258
04/11/2021,manchester,110.2398101
11/11/2021,manchester,116.0743965
18/11/2021,manchester,118.5500594
25/11/2021,manchester,122.4914919
02/12/2021,manchester,114.7036011
09/12/2021,manchester,105.1365255
16/12/2021,manchester,86.59438069
23/12/2021,manchester,55.11990503
30/12/2021,manchester,13.67313019
06/01/2022,manchester,33.33597151
13/01/2022,manchester,75.53304313
20/01/2022,manchester,85.52433716
27/01/2022,manchester,95.92402058
03/02/2022,manchester,100.0364068
10/02/2022,manchester,109.277404
17/02/2022,manchester,108.6664028
24/02/2022,manchester,100.647408
03/03/2022,manchester,118.4709141
10/03/2022,manchester,123.3557578
17/03/2022,manchester,120.9529086
24/03/2022,manchester,127.6390977
31/03/2022,manchester,122.6687772
07/04/2022,manchester,100.7202216
14/04/2022,manchester,93.35021765
21/04/2022,manchester,77.18242976
28/04/2022,manchester,111.3098536
05/05/2022,manchester,96.73130194
12/05/2022,manchester,117.5908192
19/05/2022,manchester,117.2235853
26/05/2022,manchester,112.1899486
02/06/2022,manchester,81.30431342
09/06/2022,manchester,86.28096557
16/06/2022,manchester,102.1321725
23/06/2022,manchester,96.66481994
30/06/2022,manchester,97.66838148
07/07/2022,manchester,97.63672339
14/07/2022,manchester,101.4926791
21/07/2022,manchester,99.07400079
28/07/2022,manchester,92.40364068
04/08/2022,manchester,96.55085081
11/08/2022,manchester,100.5429363
18/08/2022,manchester,95.44281757
25/08/2022,manchester,96.07914523
01/09/2022,manchester,82.7352592
08/09/2022,manchester,101.8947368
15/09/2022,manchester,104.5191927
22/09/2022,manchester,97.09220419
29/09/2022,manchester,120.1234666
06/10/2022,manchester,117.8947368
13/10/2022,manchester,124.8151959
20/10/2022,manchester,128.9497428
27/10/2022,manchester,125.1096161
03/11/2022,manchester,122.2129007
10/11/2022,manchester,127.4301543
17/11/2022,manchester,130.5864662
24/11/2022,manchester,126.4835774
01/12/2022,manchester,131.2386229
08/12/2022,manchester,129.1333597
15/12/2022,manchester,108.8880095
22/12/2022,manchester,72.10447171
29/12/2022,manchester,15.49663633
05/01/2023,manchester,47.13889988
04/03/2021,london-west-end,45.5788245
11/03/2021,london-west-end,46.70060226
18/03/2021,london-west-end,47.17370659
25/03/2021,london-west-end,50.53515557
01/04/2021,london-west-end,49.02728118
08/04/2021,london-west-end,40.83457468
15/04/2021,london-west-end,56.34058851
22/04/2021,london-west-end,63.10543662
29/04/2021,london-west-end,63.65544954
06/05/2021,london-west-end,60.80128647
13/05/2021,london-west-end,65.6527422
20/05/2021,london-west-end,69.9611767
27/05/2021,london-west-end,73.77786237
03/06/2021,london-west-end,70.08625026
10/06/2021,london-west-end,75.03092852
17/06/2021,london-west-end,76.84255298
24/06/2021,london-west-end,75.337786
01/07/2021,london-west-end,77.51142462
08/07/2021,london-west-end,75.28262934
15/07/2021,london-west-end,75.64930462
22/07/2021,london-west-end,72.86428159
29/07/2021,london-west-end,77.40499556
05/08/2021,london-west-end,78.44986473
12/08/2021,london-west-end,75.13735757
19/08/2021,london-west-end,73.76698641
26/08/2021,london-west-end,77.77089398
02/09/2021,london-west-end,78.66116913
09/09/2021,london-west-end,91.73640553
16/09/2021,london-west-end,94.6519401
23/09/2021,london-west-end,97.82772088
30/09/2021,london-west-end,99.65332872
07/10/2021,london-west-end,101.7337448
14/10/2021,london-west-end,106.9969334
21/10/2021,london-west-end,104.2041418
28/10/2021,london-west-end,105.7524126
04/11/2021,london-west-end,104.8194105
11/11/2021,london-west-end,107.9089604
18/11/2021,london-west-end,112.8482007
25/11/2021,london-west-end,115.9431886
02/12/2021,london-west-end,109.9303356
09/12/2021,london-west-end,106.5409198
16/12/2021,london-west-end,93.23029654
23/12/2021,london-west-end,71.00837643
30/12/2021,london-west-end,48.5534
06/01/2022,london-west-end,60.69097315
13/01/2022,london-west-end,78.54697153
20/01/2022,london-west-end,88.40758443
27/01/2022,london-west-end,93.22718913
03/02/2022,london-west-end,98.62555035
10/02/2022,london-west-end,100.43096
17/02/2022,london-west-end,96.93433832
24/02/2022,london-west-end,95.10173879
03/03/2022,london-west-end,97.97376951
10/03/2022,london-west-end,106.2977644
17/03/2022,london-west-end,104.6920064
24/03/2022,london-west-end,106.4453667
31/03/2022,london-west-end,103.1033391
07/04/2022,london-west-end,96.84422321
14/04/2022,london-west-end,97.70109362
21/04/2022,london-west-end,86.32173037
28/04/2022,london-west-end,101.4035817
05/05/2022,london-west-end,95.65330542
12/05/2022,london-west-end,102.0491477
19/05/2022,london-west-end,101.364739
26/05/2022,london-west-end,101.5667211
02/06/2022,london-west-end,94.36994195
09/06/2022,london-west-end,90.09102791
16/06/2022,london-west-end,100.6686774
23/06/2022,london-west-end,83.44659223
30/06/2022,london-west-end,94.13455507
07/07/2022,london-west-end,97.29557562
14/07/2022,london-west-end,87.55071403
21/07/2022,london-west-end,77.12377427
28/07/2022,london-west-end,79.96162339
04/08/2022,london-west-end,81.33587883
11/08/2022,london-west-end,83.40075782
18/08/2022,london-west-end,82.03116351
25/08/2022,london-west-end,78.74429255
01/09/2022,london-west-end,79.76274867
08/09/2022,london-west-end,86.40407693
15/09/2022,london-west-end,93.19300753
22/09/2022,london-west-end,92.048701
29/09/2022,london-west-end,95.29051441
06/10/2022,london-west-end,96.25148331
13/10/2022,london-west-end,100.9638821
20/10/2022,london-west-end,98.38084122
27/10/2022,london-west-end,96.5070684
03/11/2022,london-west-end,95.06833406
10/11/2022,london-west-end,90.57656191
17/11/2022,london-west-end,98.62399664
24/11/2022,london-west-end,100.7587925
01/12/2022,london-west-end,102.5377891
08/12/2022,london-west-end,104.8256253
15/12/2022,london-west-end,90.69153637
22/12/2022,london-west-end,83.60817795
29/12/2022,london-west-end,56.12539984
05/01/2023,london-west-end,62.74497618
04/03/2021,london-stations,36.76138017
11/03/2021,london-stations,39.92067841
18/03/2021,london-stations,42.75869209
25/03/2021,london-stations,44.29443232
01/04/2021,london-stations,47.62722423
08/04/2021,london-stations,43.16351064
15/04/2021,london-stations,52.20517232
22/04/2021,london-stations,55.35161918
29/04/2021,london-stations,55.15313672
06/05/2021,london-stations,56.91377615
13/05/2021,london-stations,57.13224965
20/05/2021,london-stations,62.56124487
27/05/2021,london-stations,67.85815643
03/06/2021,london-stations,66.28600395
10/06/2021,london-stations,63.41586182
17/06/2021,london-stations,67.13562314
24/06/2021,london-stations,71.68001485
01/07/2021,london-stations,72.00558321
08/07/2021,london-stations,71.92561905
15/07/2021,london-stations,71.25734715
22/07/2021,london-stations,68.68707062
29/07/2021,london-stations,72.43396263
05/08/2021,london-stations,75.60754019
12/08/2021,london-stations,78.0764336
19/08/2021,london-stations,78.24992726
26/08/2021,london-stations,80.39325231
02/09/2021,london-stations,79.5607683
09/09/2021,london-stations,81.00297902
16/09/2021,london-stations,86.4119832
23/09/2021,london-stations,85.30819222
30/09/2021,london-stations,92.13870212
07/10/2021,london-stations,89.61697525
14/10/2021,london-stations,91.54468265
21/10/2021,london-stations,93.286045
