Week,Location,Value
2021-9,Yorkshire,59.84709863
2021-9,London: Suburban,70.85823403
2021-9,Manchester,47.77839335
2021-9,London: West End,45.5788245
2021-9,London: Stations,36.76138017
2021-9,Regional Towns,43.09957611
2021-9,Scotland,25.62985755
2021-9,London: Airports,12.16547081
2021-9,London: City Worker,31.92929419
2021-9,Regional Stations,16.74359218
2021-10,Yorkshire,60.0375987
2021-10,London: Suburban,70.45652251
2021-10,Manchester,47.30352196
2021-10,London: West End,46.70060226
2021-10,London: Stations,39.92067841
2021-10,Regional Towns,49.43556184
2021-10,Scotland,25.57391461
2021-10,London: Airports,13.00327688
2021-10,London: City Worker,33.84264379
2021-10,Regional Stations,18.03421532
2021-11,Yorkshire,63.06554706
2021-11,London: Suburban,73.20626613
2021-11,Manchester,50.6656114
2021-11,London: West End,47.17370659
2021-11,London: Stations,42.75869209
2021-11,Regional Towns,54.22473414
2021-11,Scotland,29.80160237
2021-11,London: Airports,12.79862615
2021-11,London: City Worker,34.88962032
2021-11,Regional Stations,21.13999293
2021-12,Yorkshire,66.10352174
2021-12,London: Suburban,79.00279359
2021-12,Manchester,55.56944994
2021-12,London: West End,50.53515557
2021-12,London: Stations,44.29443232
2021-12,Regional Towns,58.72387893
2021-12,Scotland,31.75560928
2021-12,London: Airports,13.41148102
2021-12,London: City Worker,36.23236772
2021-12,Regional Stations,22.27187632
2021-13,Yorkshire,64.57952124
2021-13,London: Suburban,80.70723859
2021-13,Manchester,53.11911357
2021-13,London: West End,49.02728118
2021-13,London: Stations,47.62722423
2021-13,Regional Towns,60.12642225
2021-13,Scotland,31.43993127
2021-13,London: Airports,16.45545486
2021-13,London: City Worker,34.63311107
2021-13,Regional Stations,24.9014347
2021-14,Yorkshire,55.84659732
2021-14,London: Suburban,68.65306411
2021-14,Manchester,41.54808073
2021-14,London: West End,40.83457468
2021-14,London: Stations,43.16351064
2021-14,Regional Towns,55.90986837
2021-14,Scotland,29.22219336
2021-14,London: Airports,15.36800782
2021-14,London: City Worker,25.23126185
2021-14,Regional Stations,25.20511073
2021-15,Yorkshire,83.48915904
2021-15,London: Suburban,82.55878921
2021-15,Manchester,59.09299565
2021-15,London: West End,56.34058851
2021-15,London: Stations,52.20517232
2021-15,Regional Towns,76.21328177
2021-15,Scotland,35.0842141
2021-15,London: Airports,15.27747868
2021-15,London: City Worker,39.97356384
2021-15,Regional Stations,30.40211193
2021-16,Yorkshire,96.18247901
2021-16,London: Suburban,89.79949786
2021-16,Manchester,65.64938662
2021-16,London: West End,63.10543662
2021-16,London: Stations,55.35161918
2021-16,Regional Towns,83.89231799
2021-16,Scotland,37.92132025
2021-16,London: Airports,16.2228224
2021-16,London: City Worker,43.50710962
2021-16,Regional Stations,34.07383124
2021-17,Yorkshire,99.79195388
2021-17,London: Suburban,90.81650695
2021-17,Manchester,68.3751484
2021-17,London: West End,63.65544954
2021-17,London: Stations,55.15313672
2021-17,Regional Towns,82.24436677
2021-17,Scotland,46.01306667
2021-17,London: Airports,16.92181711
2021-17,London: City Worker,45.54784137
2021-17,Regional Stations,37.65237721
2021-18,Yorkshire,99.22045369
2021-18,London: Suburban,86.14590332
2021-18,Manchester,57.69054214
2021-18,London: West End,60.80128647
2021-18,London: Stations,56.91377615
2021-18,Regional Towns,81.49921916
2021-18,Scotland,52.37857385
2021-18,London: Airports,18.63254358
2021-18,London: City Worker,39.22759307
2021-18,Regional Stations,39.59176279
2021-19,Yorkshire,97.28537411
2021-19,London: Suburban,90.70617773
2021-19,Manchester,67.82429759
2021-19,London: West End,65.6527422
2021-19,London: Stations,57.13224965
2021-19,Regional Towns,81.04558638
2021-19,Scotland,54.47243811
2021-19,London: Airports,19.47419028
2021-19,London: City Worker,47.96286723
2021-19,Regional Stations,41.55530441
2021-20,Yorkshire,105.3665873
2021-20,London: Suburban,97.37968104
2021-20,Manchester,71.90502572
2021-20,London: West End,69.9611767
2021-20,London: Stations,62.56124487
2021-20,Regional Towns,86.50107831
2021-20,Scotland,57.56927934
2021-20,London: Airports,26.47236735
2021-20,London: City Worker,50.96943483
2021-20,Regional Stations,49.68208915
2021-21,Yorkshire,113.1871162
2021-21,London: Suburban,99.88047668
2021-21,Manchester,70.95211713
2021-21,London: West End,73.77786237
2021-21,London: Stations,67.85815643
2021-21,Regional Towns,88.36469101
2021-21,Scotland,57.39345867
2021-21,London: Airports,31.27150924
2021-21,London: City Worker,51.99459935
2021-21,Regional Stations,52.48073987
2021-22,Yorkshire,125.1184359
2021-22,London: Suburban,93.1617101
2021-22,Manchester,67.7958053
2021-22,London: West End,70.08625026
2021-22,London: Stations,66.28600395
2021-22,Regional Towns,88.50003718
2021-22,Scotland,63.171565
2021-22,London: Airports,34.96839024
2021-22,London: City Worker,41.07550664
2021-22,Regional Stations,48.53985317
2021-23,Yorkshire,121.8699085
2021-23,London: Suburban,101.0247887
2021-23,Manchester,76.88484369
2021-23,London: West End,75.03092852
2021-23,London: Stations,63.41586182
2021-23,Regional Towns,92.29567933
2021-23,Scotland,64.05866017
2021-23,London: Airports,33.33283039
2021-23,London: City Worker,53.09217974
2021-23,Regional Stations,48.89184129
2021-24,Yorkshire,119.4635919
2021-24,London: Suburban,104.4563103
2021-24,Manchester,70.37910566
2021-24,London: West End,76.84255298
2021-24,London: Stations,67.13562314
2021-24,Regional Towns,92.97984681
2021-24,Scotland,63.34738567
2021-24,London: Airports,32.46484795
2021-24,London: City Worker,53.02325378
2021-24,Regional Stations,51.58351522
2021-25,Yorkshire,119.8646447
2021-25,London: Suburban,103.3105838
2021-25,Manchester,70.89513257
2021-25,London: West End,75.337786
2021-25,London: Stations,71.68001485
2021-25,Regional Towns,91.76321856
2021-25,Scotland,62.48826197
2021-25,London: Airports,35.61361613
2021-25,London: City Worker,53.09217974
2021-25,Regional Stations,51.63527818
2021-26,Yorkshire,116.7665121
2021-26,London: Suburban,106.6148025
2021-26,Manchester,71.3161852
2021-26,London: West End,77.51142462
2021-26,London: Stations,72.00558321
2021-26,Regional Towns,96.23410426
2021-26,Scotland,60.3584344
2021-26,London: Airports,38.46062051
2021-26,London: City Worker,52.58875853
2021-26,Regional Stations,53.74375609
2021-27,Yorkshire,101.8774282
2021-27,London: Suburban,106.4691114
2021-27,Manchester,70.03719826
2021-27,London: West End,75.28262934
2021-27,London: Stations,71.92561905
2021-27,Regional Towns,97.91031457
2021-27,Scotland,58.1926435
2021-27,London: Airports,41.42503844
2021-27,London: City Worker,51.88204937
2021-27,Regional Stations,52.81892454
2021-28,Yorkshire,86.44692317
2021-28,London: Suburban,106.2159199
2021-28,Manchester,70.92679066
2021-28,London: West End,75.64930462
2021-28,London: Stations,71.25734715
2021-28,Regional Towns,97.74522198
2021-28,Scotland,61.72903638
2021-28,London: Airports,45.62668799
2021-28,London: City Worker,50.96943483
2021-28,Regional Stations,53.97151312
