Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2020-03-01,2020-03-01,2020-03-01,,0,,http://reference.data.gov.uk/id/day/2020-03-01
2020-03-02,2020-03-02,2020-03-02,,1,,http://reference.data.gov.uk/id/day/2020-03-02
2020-03-03,2020-03-03,2020-03-03,,2,,http://reference.data.gov.uk/id/day/2020-03-03
2020-03-04,2020-03-04,2020-03-04,,3,,http://reference.data.gov.uk/id/day/2020-03-04
2020-03-05,2020-03-05,2020-03-05,,4,,http://reference.data.gov.uk/id/day/2020-03-05
2020-03-06,2020-03-06,2020-03-06,,5,,http://reference.data.gov.uk/id/day/2020-03-06
2020-03-07,2020-03-07,2020-03-07,,6,,http://reference.data.gov.uk/id/day/2020-03-07
2020-03-08,2020-03-08,2020-03-08,,7,,http://reference.data.gov.uk/id/day/2020-03-08
2020-03-09,2020-03-09,2020-03-09,,8,,http://reference.data.gov.uk/id/day/2020-03-09
2020-03-10,2020-03-10,2020-03-10,,9,,http://reference.data.gov.uk/id/day/2020-03-10
2020-03-11,2020-03-11,2020-03-11,,10,,http://reference.data.gov.uk/id/day/2020-03-11
2020-03-12,2020-03-12,2020-03-12,,11,,http://reference.data.gov.uk/id/day/2020-03-12
2020-03-13,2020-03-13,2020-03-13,,12,,http://reference.data.gov.uk/id/day/2020-03-13
2020-03-14,2020-03-14,2020-03-14,,13,,http://reference.data.gov.uk/id/day/2020-03-14
2020-03-15,2020-03-15,2020-03-15,,14,,http://reference.data.gov.uk/id/day/2020-03-15
2020-03-16,2020-03-16,2020-03-16,,15,,http://reference.data.gov.uk/id/day/2020-03-16
2020-03-17,2020-03-17,2020-03-17,,16,,http://reference.data.gov.uk/id/day/2020-03-17
2020-03-18,2020-03-18,2020-03-18,,17,,http://reference.data.gov.uk/id/day/2020-03-18
2020-03-19,2020-03-19,2020-03-19,,18,,http://reference.data.gov.uk/id/day/2020-03-19
2020-03-20,2020-03-20,2020-03-20,,19,,http://reference.data.gov.uk/id/day/2020-03-20
2020-03-21,2020-03-21,2020-03-21,,20,,http://reference.data.gov.uk/id/day/2020-03-21
2020-03-22,2020-03-22,2020-03-22,,21,,http://reference.data.gov.uk/id/day/2020-03-22
2020-03-23,2020-03-23,2020-03-23,,22,,http://reference.data.gov.uk/id/day/2020-03-23
2020-03-24,2020-03-24,2020-03-24,,23,,http://reference.data.gov.uk/id/day/2020-03-24
2020-03-25,2020-03-25,2020-03-25,,24,,http://reference.data.gov.uk/id/day/2020-03-25
