Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
accommodation-and-food-services,Accommodation and Food Services,Accommodation and Food Services,,0,Accommodation and Food Services
administrative-and-support-services,Administrative and Support Services,Administrative and Support Services,,1,Administrative and Support Services
all,All,All,,2,The all category is weighted to be representative of the UK's small business economy
construction,Construction,Construction,,3,Construction
health-care-and-social-assistance,Health Care and Social Assistance,Health Care and Social Assistance,,4,Health Care and Social Assistance
information-media-and-telecommunications,Information Media and Telecommunications,Information Media and Telecommunications,,5,Information Media and Telecommunications
manufacturing,Manufacturing,Manufacturing,,6,Manufacturing
other-services,Other Services,Other Services,,7,Other Services
professional-scientific-and-technical-services,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",,8,"Professional, Scientific and Technical Services"
rental-hiring-and-real-estate-services,"Rental, Hiring and Real Estate Services","Rental, Hiring and Real Estate Services",,9,"Rental, Hiring and Real Estate Services"
retail-trade,Retail Trade,Retail Trade,,10,Retail Trade
